"name","genre","year_released"
"Judgment","Action-adventure",2022
"Final Fantasy VI","Role-playing",2022
"Final Fantasy VII Remake Intergrade","Action role-playing game",2022
"Return to Monkey Island","Devolver Digital",2022
"God of War","Action-adventure, hack and slash",2022
"Lost Judgment","Action-adventure",2022
"Final Fantasy V","Role-playing",2021
"Bus Simulator","Simulator",2021
"Final Fantasy","Role-playing",2021
"Final Fantasy II","Role-playing",2021
"Yakuza 3 Remastered","Action Adventure, Beat 'em up",2021
"Hitman III","Action-adventure, stealth",2021
"Yakuza 6: The Song of Life","Action Adventure, Beat 'em up",2021
"Black Skylands","Top-down shooter, Open world",2021
"Sands of Salzaar","Action RPG, strategy, open world",2021
"Persona 4 Golden","Role-playing, social simulation",2020
"Ori and the Will of the Wisps","Platform",2020
"Assassin's Creed Valhalla","Action-adventure",2020
"Desperados III","Real-time tactics",2020
"Yakuza: Like a Dragon","Role-Playing Game, Beat 'em up",2020
"Valorant","First-person shooter",2020
"Half-Life: Alyx","First-person shooter, VR game",2020
"Abzû","Adventure, art game, simulation",2019
"Yakuza Kiwami 2","Action Adventure, Beat 'em up",2019
"Ace Combat 7: Skies Unknown","Combat flight simulator",2019
"Yakuza Kiwami","Action Adventure, Beat 'em up",2019
"Mortal Kombat 11","Fighting",2019
"ARIDA: Backland's Awakening","Adventure",2019
"Widelands","Widelands",2019
"Assetto Corsa Competizione","Racing, simulation",2019
"Tropico 6","Construction and management simulation, City-building game",2019
"Apex Legends","Battle royale",2019
"Red Dead Redemption 2","Action-adventure",2019
"Clans to Kingdoms","4X, Turn-based strategy, City-building",2019
"Borderlands 3","Action role-playing, first-person shooter",2019
"Call of Duty: Black Ops 4","FPS",2018
"Zup! Zero 2","Puzzle",2018
"Zup! Arena","Action, MMO",2018
"Zup! X","Puzzle",2018
"Sunset Overdrive","Action-adventure, third-person shooter",2018
"Assassin's Creed Odyssey","Action-adventure",2018
"Identity","MMORPG",2018
"Next Car Game: Wreckfest","Racing, destruction",2018
"Shadow of the Tomb Raider","action-adventure",2018
"Blade Strangers","Fighting",2018
"Just Cause 4","Open world, action",2018
"RimWorld","Construction and management simulation",2018
"Insurgency: Sandstorm","First-person shooter",2018
"Return of the Obra Dinn","Adventure, Puzzle",2018
"Empires Apart","RTS",2018
"Zup! 8","Puzzle",2018
"Final Fantasy XV","Action role-playing game",2018
"Attack on Titan 2","Action, Hack and slash",2018
"Battlefield V","First-person shooter",2018
"Yakuza 0","Action Adventure, Beat 'em up",2018
"Lobotomy Corporation","Management simulation, indie",2018
